links
main page
contents
current events
random article
about wikipedia
help
learn to edit
community portal
recent changes
upload file
"





"
"
search
"
learn more
contributions
talk
article
talk
read
read
what links here
related changes
upload file
special pages
""
""
islam (disambiguation)
""
kaaba
masjid al-haram
mecca
saudi arabia
holiest islamic site
universal religion
abrahamic
scripture
quran
monotheistic
classical arabic
muslim world
muhammad
jabal al-nour
mecca
hejaz
arabia
separated from
arabian polytheism
druze faith
yarsanism
bábism
ishikism
1.9 billion
muslims
ummah
a series
""
beliefs
oneness
god
angels
revealed books
prophets
day of resurrection
predestination
practices
profession of faith
prayer
almsgiving
fasting
pilgrimage
texts
foundations
quran
sunnah
hadith
sirah
tafsir (exegesis)
aqidah (creed)
"qisas al-anbiya (""stories of the prophets"")"
mathnawi
fiqh (jurisprudence)
sharia (law)
history
timeline
muhammad
ahl al-bayt
sahabah
rashidun
caliphate
imamate
medieval islamic science
spread of islam
succession to muhammad
culture
society
academics
animals
art
association football
calendar
children
circumcision
demographics
diaspora
denominations
sunni
shia
economics
education
ethics
exorcism
feminism
festivals
finance
madrasa
moral teachings
mosque
music
mysticism
philosophy
poetry
politics
proselytizing
science
sexuality
lgbt
slavery
social welfare
women
related topics
apostasy
criticism
muhammad
quran
hadith
other religions
islamism
violence
terrorism
war
islamophobia
jihad
jihadism
laws of war
glossary
islam portal
v
t
e
/ˈɪzlɑːm/
arabic
will of god
abrahamic
monotheistic religion
quran
muhammad
muslims
1.9 billion worldwide
world's second-largest religious population
christians
fertility rate
muslims are the world's fastest-growing major religious group
primordial faith
adam
noah
abraham
moses
jesus
god
revelations
tawrat
torah
hebrew
zabur
psalms
injil
gospel
muhammad
final islamic prophet
sunnah
hadith
allah
one and incomparable
final judgment
paradise
jannah
hell
jahannam
five pillars
obligatory
oath
creed
shahada
prayers
salah
almsgiving
zakat
fasting
sawm
ramadan
hajj
mecca
sharia
banking and finance
welfare
men's
women's roles
environment
religious festivals
eid al-fitr
eid al-adha
three holiest sites in islam
masjid al-haram
prophet's mosque
medina
al-aqsa mosque
jerusalem
ce
muhammad began receiving revelation
arabian peninsula
converted to islam
rashidun caliphate
umayyad caliphate
iberian peninsula
indus valley
islamic golden age
abbasid caliphate
muslim world
scientific
economic
cultural flourishing
expansion
various states and caliphates
islamic missionary activities
dawah
conquests
islamic branches
sunni islam
shia islam
sunni–shia split
succession to muhammad
theologically
juridically
49 countries
indonesia
south asia
middle east–north africa
sub-saharan africa
americas
china
europe
muslims § etymology
arabic
lit.
triliteral root
s-l-m
god
muslim
active participle
hadith of gabriel
imān
ihsān
mohammedanism
english-speaking world
offensive
aqidah
iman
creed
aqidah
six articles
day of resurrection
""
allah
hagia sophia
istanbul
turkey
god in islam
tawḥīd
monotheism
panentheistic
christian trinity
idolatory
shirk
iconodules
names or attributes
universe
"be, and it is"
purpose of existence
clergy
taqwa
allāh
plural
gender
ʾilāh
""
siyer-i nebi
gabriel
angels in islam
revelations
soul
nūr
anthropomorphic forms
supernatural
gabriel
michael
mi'raj
islamic eschatology
theology
philosophy
""
quran
rehal
islamic holy books
quran
wahy
history of the quran
quran
archangel
his companions
memorization
sūrah
āyāt
mecca
medinan
tafsir
arabic literature
wahy
tawrat
torah
injil
gospel
distorted
prophets and messengers in islam
sunnah
hadith
""
persian miniature
muhammad
abraham
moses
jesus
prophets in islam
adam
noah
abraham
moses
jesus
qisas al-anbiya
seal of the prophets
sunnah
hadith
hadith qudsi
sanad
matn
ṣaḥīḥ
ḥasan
ḍaʻīf
kutub al-sittah
sunni islam
sahih al-bukhari
authentic
the four books
""
umayyad mosque
damascus
isa
day of judgment
islamic eschatology
yawm al-qiyāmah
scholars
tribulations
bodily resurrection
pre-islamic arabian
jannah
jahannam
surat al-zalzalah
lists several sins
hell
al-qāriʿah
predestination in islam
arabic
"""in-sha-allah"""
five pillars of islam
ibadah
duties
shahada
zakat
fasting during ramadan
hajj
supererogatory
""
mughal emperor
akbar
shahada
shahadah
oath
deity
god
convert to islam
salah
mosque
jumu'ah
""
prostrating
umayyad mosque
damascus
as-salah
rakat
bowing
prostrating
the direction
kaaba
wudu
ghusl
mosque
place of worship
muslim community
masjid an-nabawi
saudi arabia
minarets
adhan
zakat
sadaqah
""
zawiya of moulay idris ii
"fez, morocco"
zakat
arabic
almsgiving
accumulated wealth
debt
welfare
sadaqah
waqf
charitable trust
""
iftar
dates
fasting in islam
fasting during ramadan
arabic
smoking
ramadan
day of arafah
hajj
umrah
holiest sites in islam
""
great mosque of mecca
hajj
pilgrimage
islamic month
dhu al-hijjah
abraham
mecca
kaaba
safa and marwa
hagar
ishmael
mount arafat
stoning the devil
ihram
umrah
medina
jerusalem
al-aqsa
""
quran § recitation
dua
dhikr
al-ikhlas
sincerity
112th
chapter
imam
mishary rashid alafasy
media help
tajwid
elocution
arabic
[duˈʕæːʔ]
raising hands
praise be due to god
tasbih
in the name of god
history of islam
timeline of islamic history
list of muslim empires and dynasties
""
 
al-masjid al-nabawi
medina
hejaz
saudi arabia
muhammad
muhammad in islam
early social changes under islam
""
cave of hira
mecca
570
ce
trusted one
arabic
khadija
cave of hira
jabal al-nour
received the first revelation
quran
gabriel
night of power
seal of the prophets
"while in mecca, muhammad"
polytheism
muezzin
bilal ibn rabah al-habashi
persecution of muslims by the meccans
companions
hijra
ansar
muhajirun
muhammad in medina
political and religious authority
constitution of medina
battle of badr
battle of uhud
battle of the trench
treaty of hudaybiyyah
conquest of mecca
tribes of arabia
polity
succession to muhammad
early muslim conquests
event of ghadir khumm
saqifa
""
rashidun caliphate
""
dome of the rock
abd al-malik ibn marwan
second fitna
caliphs
abu bakr
umar
uthman ibn al-affan
ali ibn abi talib
hasan ibn ali
rightly guided caliphs
ridda wars
persian
byzantine
was elected in 644
first civil war
aisha
battle of the camel
mu'awiya
battle of siffin
kharijites
battle of nahrawan
peace treaty
umayyad dynasty
yazid i
second civil war
battle of karbala
husayn ibn ali
annually commemorated
ibn al-zubayr
siege of mecca
sunni
shia
ahl al-bayt
umar ibn abd al-aziz
the seven fuqaha of medina
malik ibn anas
muwatta
kharijites
isis
murji'ah
maghreb
iberian peninsula
narbonnese gaul
sindh
berber revolt
abbasid revolution
mawali
hadith studies
islamic philosophy
islamic world contributions to medieval europe
turco-persian tradition
muhammad al-bukhari
muslim ibn al-hajjaj
sunni hadith collections
al-kulayni
ibn babawayh
madh'habs
abū ḥanīfa
ahmad ibn hanbal
al-shafi'i
ja'far al-sadiq
ja'fari jurisprudence
al-tabari
tafsir al-tabari
sufism
devil
muʿtazila
wasil ibn ata
mamun al rashid
al-mu'tasim
inquisitions
ahmad ibn hanbal
created rather than being eternal
schools
speculative theology
māturīdism
abu mansur al-maturidi
ash'ari
al-ash'ari
al-farabi
avicenna
averroes
scholasticism
christianity in europe
maimonides
al-ghazali
syncretism
""
hunain ibn ishaq
islamic golden age
medicine
mathematics
astronomy
agriculture
physics
economics
engineering
optics
avicenna
experimental medicine
the canon of medicine
europe
rhazes
smallpox
measles
public hospitals
ibn al-haytham
scientific method
optics
banū mūsā
automatic
flute
programmable machine
mathematics
algorithm
muhammad ibn musa al-khwarizmi
algebra
al-jabr
function
guinness world records
university of al karaouine
christians
jews
sabians
contributed to the islamic civilization
house of wisdom
christian
persian scholars
tulunids
ghaznavid dynasty
shi'a century
millennialist
isma'ili
fatimid dynasty
qarmatians
black stone
buyid dynasty
reassert sunni islam
nezamiyeh
saadi shirazi
volga bulgaria
delhi sultanate
indian subcontinent
low-caste hindus
muslims to china
song dynasty
governing minority class
yuan dynasty
safavid conversion of iran to shia islam
""
ghazan khan
ilkhanate
mongol empire
ottoman empire
southeast europe
syncretism
hindu
turkish shamanism beliefs
muslims in ming dynasty china
culture
nanjing
mongol destruction
iran
central asia
mongol rule
timurid renaissance
timurid dynasty
nasir al-din al-tusi
mathematical model
copernicus
heliocentric
jamshīd al-kāshī
pi
gunpowder empires
caliphate
ottoman dynasty
selim i
ruler of mecca and medina
safavid dynasty
babur
mughal empire
symbiosis
ottoman rulers
mevlevi order
bektashi order
heterodox
syncretic
safavid conversion of iran
twelver sect
nader shah
""
abdülmecid ii
ottoman dynasty
ibn taymiyya
puritanical
itjihad
muhammad ibn 'abd al-wahhab
ibn al-qayyim
wahhabi
innovations
tombs of muhammad and his companions
saud family
saudi arabia
ma wanfu
sailaifengye
senusiyya
muhammad ahmad
shah waliullah dehlawi
deobandi
barelwi
sufism
muslim world
reconquista
muslim presence in iberia
east india company
mughal dynasty
western imperialism
reform islam
islamic modernism
salafiyya
muhammad 'abduh
jamal al-din al-afghani
abul a'la maududi
political islam
codification
mecelle
ottoman empire disintegrated
world war i
ottoman caliphate
was abolished in 1924
sharifian caliphate
caliph
pan-islamists
pan-arabism
organisation of islamic cooperation
muslim-majority countries
al-aqsa mosque
jerusalem
muslim population in latin america
""
islamic summit conference
muslim brotherhood
arab spring
jamaat-e-islami
ak party
iran
revolution
secular
islamic state
sayyid rashid rida
islamic state of iraq and the levant
quietist
coups
al-azhar university
khmer rouge
chinese communist party
xinjiang
bosnian genocide
tatmadaw
rohingya muslims
ohchr
genocide
hijab
televangelist
amr khaled
ulema
liberal muslims
ruling elites
anti-religion
muslim world
ummah
islam by country
muslim population growth
""
""
pew research center
muslim-majority
indonesia
pakistan
india
bangladesh
arab muslims
largest ethnic group among muslims
bengalis
punjabis
china
islam in europe
christianity
religious conversion
become muslims through conversion
sub saharan africa
cnn
in britain
women
african-americans
christianity
fertility rate
islamic schools and branches § main branches or denominations
shia–sunni relations
sunni islam
""
sahih al-bukhari
six sunni hadith books
sunna
six major hadith works
hanafi
hanbali
maliki
shafi'i
traditionalist theology
ahmad ibn hanbal
textualist
kalam
mu'tazilism
maturidism
abu mansur al-maturidi
ash'arism
al-ashʿarī
salafism
salafi movement
ahl al-hadith
nurcu
said nursi
shia islam
""
imam hussein shrine
iraq
shia muslims
""
al-abbas shrine
karbala
iraq
successor
ahl al-bayt
imams
ghadir khumm
ali
wali
ali
imam
twelvers
twelve imams
occultation
hadith of the twelve successors
zaidi
isma'ilis
nizaris
muhakkima
ibadi islam
kharijites
ibadi islam
ibadism
oman
kharijites
jami sahih
""
ahmadiyya
mirza ghulam ahmad
india
alevism
syncretic
heterodox
bāṭenī
haji bektash veli
shamanism
animism
quranism
quran
sunnah
hadith
five pillars of islam
syed ahmad khan
ghulam ahmed perwez
muhammad tawfiq sidqi
al-manār
rashad khalifa
numerological
code in the quran
united submitters international
non-denominational muslim
umbrella term
islamic denomination
pew research center
kazakhstan
sufism
sufi–salafi relations
""
mevlevi order
rumi
""
sufism
konya
turkey
mystical
ascetic
personal experience of god
isma'ilism
gnosticism
neoplatonism
illuminationist
isfahan
hasan al-basri
mansur al-hallaj
jalaluddin rumi
bayazid bastami
haji bektash veli
junaid baghdadi
nile green
revivalist
salafism
sufi–salafi relations
tariqa
wali
barelvi
tunisia
algeria
morocco
senegal
chad
niger
sharia
fiqh
logic in islamic philosophy § islamic law and theology
