word,freq
style,2
strongly,2
striving,2
still,2
step,2
status,2
starting,2
son,2
something,2
slave,2
simple,2
sheikh,2
share,2
shah,2
shafii,2
seventh,2
service,2
servant,2
separate,2
sense,2
selfidentify,2
second,2
seal,2
scriptural,2
scientist,2
science,2
scholarly,2
schism,2
sahih,2
roughly,2
root,2
rock,2
rewarded,2
revolution,2
revival,2
resulting,2
response,2
research,2
requires,2
required,2
represented,2
replaced,2
related,2
reject,2
record,2
recommended,2
recognizes,2
recognise,2
recent,2
received,2
rebel,2
reasoning,2
rashid,2
range,2
qiyāmah,2
pushed,2
purpose,2
public,2
promoted,2
prominently,2
prominent,2
presided,2
predestination,2
preached,2
practised,2
position,2
polygyny,2
played,2
pilgrim,2
pew,2
period,2
percentage,2
peace,2
partner,2
particularly,2
paid,2
overthrew,2
outside,2
otherwise,2
originated,2
or,2
opposed,2
official,2
offensive,2
occultation,2
obligation,2
object,2
oath,2
numerous,2
notion,2
not,2
north,2
normative,2
nonmuslim,2
noah,2
next,2
nationalist,2
nation,2
narrator,2
named,2
mūsā,2
multiple,2
mughal,2
mufti,2
mount,2
moses,2
moral,2
monarchy,2
modesty,2
modernism,2
mission,2
migration,2
migrant,2
might,2
messenger,2
merciful,2
medinan,2
medicine,2
mecelle,2
meat,2
may,2
mathematics,2
marry,2
marriage,2
malik,2
madhhab,2
made,2
lunar,2
living,2
lit,2
lifetime,2
leading,2
late,2
language,2
lack,2
killed,2
khumm,2
kharijite,2
karbala,2
just,2
judgment,2
judged,2
judge,2
jesus,2
jannah,2
jalaluddin,2
jahannam,2
jafari,2
ismailism,2
isi,2
involves,2
introduced,2
interpreted,2
intellectual,2
instead,2
innovation,2
injil,2
initially,2
indian,2
incorporates,2
incomparable,2
includes,2
in,2
impact,2
immigrant,2
ijtihad,2
identify,2
identified,2
iberian,2
ibadis,2
i,2
husband,2
humanity,2
hospital,2
holy,2
hold,2
hindu,2
hijra,2
hijab,2
heretic,2
helped,2
help,2
heavily,2
heavenly,2
growth,2
grew,2
greek,2
greater,2
great,2
grave,2
grading,2
golden,2
gold,2
go,2
